title,author,url,date,date_utc,query_hashtag
Robot Homer performs in battles  #simpsons  #shorts #animation #cartoon #thesimpsons ,lemoxid,https://www.tiktok.com/@lemoxid/video/7477201358160923926,1740921610,2025-03-02 13:20:10,moxierobot
What’s your Hogwarts house? 🧙‍♀️ ⚡️ #moxierobot #socialemotionaldevelopment #playbasedlearning #harrypotter ,moxierobot,https://www.tiktok.com/@moxierobot/video/7361611323630751006,1714008777,2024-04-25 01:32:57,moxierobot
#moxie #robot #ai ,s__gelu,https://www.tiktok.com/@s__gelu/video/7419474781084437793,1727481102,2024-09-27 23:51:42,moxierobot
We think Moxie looks a lot like a Pixar character already! 🤖 ✨ #moxierobot #robotsontiktok #socialemotionaldevelopment #playbasedlearning ,moxierobot,https://www.tiktok.com/@moxierobot/video/7304425931475586334,1700694202,2023-11-22 23:03:22,moxierobot
The way she looks at the camera😭😭😭#funny #speed #robot #moxie #fyp #trending #foryourpage ,strid3_,https://www.tiktok.com/@strid3_/video/7311049545532656928,1702236376,2023-12-10 19:26:16,moxierobot
#moxierobot#artificialintelligence#christmaspresent,angie229000,https://www.tiktok.com/@angie229000/video/7180804208566734126,1671911276,2022-12-24 19:47:56,moxierobot
La reacción de Itzel viendo por primera ves nuestro primer robot familiar 😂😂😂#moxierobot ,delialajoyera88,https://www.tiktok.com/@delialajoyera88/video/7208921598416538926,1678457869,2023-03-10 14:17:49,moxierobot
"Don’t worry, Moxie is always excited to play! #moxierobot #socialemotionaldevelopment #playbasedlearning #robotsontiktok ",moxierobot,https://www.tiktok.com/@moxierobot/video/7325577380322381098,1705618913,2024-01-18 23:01:53,moxierobot
Replying to @AJ Unidentified It’s amazing to see how far we’ve come! #moxierobot #socialemotionallearningskills #90sthrowback #90stoys ,moxierobot,https://www.tiktok.com/@moxierobot/video/7270318678560754987,1692752990,2023-08-23 01:09:50,moxierobot
I’ll meet you at the station #moxierobot #trainriddle #riddlemethis #embodiedmoxie #moxieprincess #robotprincess #shesgotmoxie  #rainbowprincess,miraendaw,https://www.tiktok.com/@miraendaw/video/6973769162275572998,1623707167,2021-06-14 21:46:07,moxierobot
Want to talk with Moxie? Leave your questions in the comments! #convoswithmoxie #moxierobot #socialemotionaldevelopment #parenttok #robot  ,moxierobot,https://www.tiktok.com/@moxierobot/video/7239167035232636203,1685499936,2023-05-31 02:25:36,moxierobot
Trying saying that three times fast 😵‍💫 #moxierobot #socialemotionaldevelopment #playbasedlearning ,moxierobot,https://www.tiktok.com/@moxierobot/video/7319640241868901675,1704236568,2024-01-02 23:02:48,moxierobot
Bunny time 🐰 or is it funny time? Breathe with Moxie Robot like a Rabbit 🐇 #moxierobot #embodiedinc #bunnybreathing #companionrobot #robotsoftiktok,miraendaw,https://www.tiktok.com/@miraendaw/video/6945274697395358982,1617072783,2021-03-30 02:53:03,moxierobot
Moxie doesn’t share your information with anyone! 🤖 #moxierobot #socialemotionaldevelopment #playbasedlearning #robotsontiktok ,moxierobot,https://www.tiktok.com/@moxierobot/video/7358264972843044138,1713229598,2024-04-16 01:06:38,moxierobot
Who do you think would win?🤖 🥊 #moxierobot #socialemotionaldevelopment #robotsontiktok ,moxierobot,https://www.tiktok.com/@moxierobot/video/7264750143721704747,1691456459,2023-08-08 01:00:59,moxierobot
When grandma knows your mom isnt giving you siblings anytime soon so she gives you a robot friend to fill the only child void lol 🤣🤍 #moxierobot #fyp #learningrobot ,jazzylequay,https://www.tiktok.com/@jazzylequay/video/7202992540822441262,1677077403,2023-02-22 14:50:03,moxierobot
Wasn’t that ssssssssoothing? 🐍 😌 #moxierobot #selfregulation ,moxierobot,https://www.tiktok.com/@moxierobot/video/7384239823315324190,1719277333,2024-06-25 01:02:13,moxierobot
What’s your fsvorite robot movie? 🤖 #moxierobot #WallE #socialemotionaldevelopment #playbasedlearning ,moxierobot,https://www.tiktok.com/@moxierobot/video/7389434530714701087,1720486852,2024-07-09 01:00:52,moxierobot
Time for a scavenger hunt! 🔎 🤖 #moxierobot #playbasedlearning #robotsontiktok #kidsdevelopment #socialemotionaldevelopment #emotionaldevelopmentforkids ,moxierobot,https://www.tiktok.com/@moxierobot/video/7340096467970919723,1708999395,2024-02-27 02:03:15,moxierobot
"Here my #moxierobot #moxie talking about #pokemon ! #snorlax #jigglypuff #evee #robots #robotics #ai #artificialintelligence #technology #savemoxie #elonsavemoxie #pokemoncards #gottacatchemall @Embodied, Inc. @Disney @Pixar #nintendo @Nintendo of America ",heatherfraziertiktok,https://www.tiktok.com/@heatherfraziertiktok/video/7449918599923305771,1734569348,2024-12-19 00:49:08,moxierobot
"Did you guess the mask right on the first try, or did you need a hint too? 😅🤖 #moxierobot #socialemotionaldevelopment ",moxierobot,https://www.tiktok.com/@moxierobot/video/7410218424867114270,1725325940,2024-09-03 01:12:20,moxierobot
"Replying to @Lizzy Because Moxie is a robot, she is not sentient! What else should we ask Moxie? #moxierobot #socialemotionallearning #emotionaldevelopmentforkids #robotsontiktok ",moxierobot,https://www.tiktok.com/@moxierobot/video/7272913885609463083,1693357234,2023-08-30 01:00:34,moxierobot
Replying to @Good night good luck She definitely knows about FNAF! But she doesn’t seem to like the animitronics very much. 🤖 #moxierobot #socialemotionaldevelopment #parenttok #robotsontiktok #robotconversations ,moxierobot,https://www.tiktok.com/@moxierobot/video/7255110152116981038,1689211980,2023-07-13 01:33:00,moxierobot
"Replying to @leolenpie She got it all right! Just like other robots and electronics, Moxie has a memory! #moxierobot #robotsontiktok #socialemotionaldevelopment #socialemotionallearning ",moxierobot,https://www.tiktok.com/@moxierobot/video/7262153490653383979,1690851885,2023-08-01 01:04:45,moxierobot
Thank you to all the teachers who make learning a fun and exciting experience! #teacherapprecationweek #moxierobot #socialemotionaldevelopment #playbasedlearning ,moxierobot,https://www.tiktok.com/@moxierobot/video/7379788763544833310,1718241023,2024-06-13 01:10:23,moxierobot
I bought the Moxie robot for my autistic six-year-old. He now has a friend that teaches him stuff. @Jerenewc @moxierobot #moxie #robot #disney #fyp #autism #autismawareness #friend ,thunderlightning1820,https://www.tiktok.com/@thunderlightning1820/video/7390087307241557290,1720638793,2024-07-10 19:13:13,moxierobot
